category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
F0_34,0,0.241,0,0.349,0,0.383,0.902,0,0,0,0
F35_44,0,0.315,0,0.349,0,0.414,1.105,0,0,0,0
F45_54,0,0.348,0,0.374,0,0.418,1.043,0,0,0,0
F55_59,0,0.379,0,0.434,0,0.414,1.065,0,0,0,0
F60_64,0,0.428,0,0.49,0,0.412,1.067,0,0,0,0
F65_69,0.323,0,0.441,0,0.359,0,1.245,0,0,0,0
F70_74,0.386,0,0.519,0,0.406,0,1.15,0,0,0,0
F75_79,0.451,0,0.593,0,0.476,0,1.014,0,0,0,0
F80_84,0.528,0,0.716,0,0.55,0,0.882,0,0,0,0
F85_89,0.641,0,0.865,0,0.653,0,0.798,0,0,0,0
F90_94,0.783,0,0.987,0,0.783,0,0.668,0,0,0,0
F95_GT,0.787,0,1.041,0,0.873,0,0.501,0,0,0,0
M0_34,0,0.156,0,0.24,0,0.389,1.101,0,0,0,0
M35_44,0,0.199,0,0.235,0,0.282,1.002,0,0,0,0
M45_54,0,0.241,0,0.307,0,0.313,0.965,0,0,0,0
M55_59,0,0.287,0,0.402,0,0.34,1.017,0,0,0,0
M60_64,0,0.33,0,0.526,0,0.373,1.061,0,0,0,0
M65_69,0.308,0,0.494,0,0.37,0,1.288,0,0,0,0
M70_74,0.394,0,0.6,0,0.427,0,1.329,0,0,0,0
M75_79,0.473,0,0.71,0,0.5,0,1.317,0,0,0,0
M80_84,0.556,0,0.803,0,0.544,0,1.207,0,0,0,0
M85_89,0.686,0,1,0,0.659,0,1.122,0,0,0,0
M90_94,0.841,0,1.142,0,0.834,0,0.989,0,0,0,0
M95_GT,0.986,0,1.267,0,1.047,0,0.821,0,0,0,0
LTIMCAID,0,0,0,0,0,0,0.061,0,0,0,0
OriginallyDisabled_Female,0.25,0,0.173,0,0.136,0,0,0,0,0,0
OriginallyDisabled_Male,0.147,0,0.182,0,0.083,0,0,0,0,0,0
HCC1,0.335,0.287,0.595,0.396,0.482,0.2,1.722,0,0,0,0
HCC2,0.352,0.414,0.453,0.53,0.316,0.297,0.324,0,0,0,0
HCC6,0.424,0.74,0.572,0.803,0.318,0.658,0.534,0,0,0,0
HCC8,2.659,2.714,2.566,2.801,2.455,2.659,1.303,0,0,0,0
HCC9,1.024,0.91,1.01,1.001,1.001,0.88,0.623,0,0,0,0
HCC10,0.675,0.663,0.717,0.756,0.648,0.667,0.461,0,0,0,0
HCC11,0.307,0.345,0.317,0.355,0.33,0.351,0.294,0,0,0,0
HCC12,0.15,0.212,0.158,0.212,0.154,0.181,0.21,0,0,0,0
HCC17,0.302,0.351,0.34,0.423,0.326,0.373,0.44,0,0,0,0
HCC18,0.302,0.351,0.34,0.423,0.326,0.373,0.44,0,0,0,0
HCC19,0.105,0.124,0.107,0.145,0.087,0.122,0.178,0,0,0,0
HCC21,0.455,0.674,0.693,0.723,0.457,0.679,0.267,0,0,0,0
HCC22,0.25,0.183,0.383,0.297,0.233,0.204,0.455,0,0,0,0
HCC23,0.194,0.378,0.211,0.299,0.174,0.319,0.379,0,0,0,0
HCC27,0.882,1.065,1.111,1.101,0.729,0.887,0.874,0,0,0,0
HCC28,0.363,0.334,0.411,0.365,0.403,0.341,0.485,0,0,0,0
HCC29,0.147,0.314,0.042,0.292,0.181,0.238,0.485,0,0,0,0
HCC33,0.219,0.503,0.258,0.538,0.232,0.552,0.352,0,0,0,0
HCC34,0.287,0.58,0.349,0.762,0.371,0.597,0.422,0,0,0,0
HCC35,0.308,0.523,0.275,0.551,0.275,0.543,0.355,0,0,0,0
HCC39,0.401,0.378,0.558,0.682,0.443,0.435,0.401,0,0,0,0
HCC40,0.421,0.367,0.371,0.328,0.347,0.264,0.292,0,0,0,0
HCC46,1.372,3.566,1.214,4.309,1.234,4.138,0.799,0,0,0,0
HCC47,0.665,0.86,0.452,0.691,0.674,0.594,0.576,0,0,0,0
HCC48,0.192,0.312,0.221,0.298,0.186,0.33,0.19,0,0,0,0
HCC51,0.346,0.224,0.453,0.256,0.42,0.257,0,0,0,0,0
HCC52,0.346,0.224,0.453,0.256,0.42,0.257,0,0,0,0,0
HCC54,0.329,0.543,0.538,0.896,0.372,0.679,0.178,0,0,0,0
HCC55,0.329,0.279,0.538,0.356,0.372,0.275,0.178,0,0,0,0
HCC56,0.329,0.247,0.538,0.348,0.372,0.275,0.178,0,0,0,0
HCC57,0.524,0.352,0.57,0.381,0.495,0.309,0.187,0,0,0,0
HCC58,0.393,0.352,0.57,0.231,0.449,0.239,0.187,0,0,0,0
HCC59,0.309,0.164,0.299,0.127,0.306,0.109,0.187,0,0,0,0
HCC60,0.309,0.108,0.299,0.1,0.255,0.065,0,0,0,0,0
HCC70,1.242,1.001,1.038,1,1,1.134,0.549,0,0,0,0
HCC71,1.068,0.739,0.921,0.957,1,0.933,0.492,0,0,0,0
HCC72,0.481,0.369,0.532,0.377,0.512,0.336,0.289,0,0,0,0
HCC73,0.999,1.132,1.101,1.245,0.687,0.933,0.476,0,0,0,0
HCC74,0.339,0.098,0,0,0.114,0,0,0,0,0,0
HCC75,0.472,0.481,0.407,0.404,0.287,0.314,0.332,0,0,0,0
HCC76,0.518,0.621,0.413,0.597,0,0.286,0.356,0,0,0,0
HCC77,0.423,0.566,0.742,0.789,0.276,0.46,0,0,0,0,0
HCC78,0.606,0.501,0.601,0.443,0.536,0.43,0.159,0,0,0,0
HCC79,0.22,0.196,0.237,0.139,0.257,0.169,0.065,0,0,0,0
HCC80,0.486,0.274,0.511,0.105,0.729,0.134,0,0,0,0,0
HCC82,1,0.781,2.183,1.465,0.836,0.769,1.622,0,0,0,0
HCC83,0.354,0.4,0.902,0.531,0.361,0.769,0.511,0,0,0,0
HCC84,0.282,0.385,0.492,0.531,0.361,0.343,0.313,0,0,0,0
HCC85,0.331,0.447,0.371,0.486,0.336,0.422,0.203,0,0,0,0
HCC86,0.195,0.264,0.377,0.425,0.293,0.379,0.366,0,0,0,0
HCC87,0.195,0.264,0.302,0.425,0.276,0.379,0.366,0,0,0,0
HCC88,0.135,0.111,0.034,0.152,0.149,0.149,0.366,0,0,0,0
HCC96,0.268,0.262,0.384,0.308,0.264,0.281,0.252,0,0,0,0
HCC99,0.23,0.17,0.38,0.486,0.23,0.163,0.111,0,0,0,0
HCC100,0.23,0.146,0.38,0.324,0.23,0.163,0.111,0,0,0,0
HCC103,0.437,0.281,0.487,0.296,0.438,0.31,0,0,0,0,0
HCC104,0.331,0.27,0.345,0.258,0.3,0.164,0,0,0,0,0
HCC106,1.488,1.521,1.724,1.748,1.504,1.525,0.867,0,0,0,0
HCC107,0.383,0.464,0.565,0.653,0.463,0.45,0.299,0,0,0,0
HCC108,0.288,0.301,0.294,0.267,0.297,0.314,0.093,0,0,0,0
HCC110,0.51,2.676,0.509,3.516,0.392,3.051,0.593,0,0,0,0
HCC111,0.335,0.246,0.43,0.331,0.358,0.267,0.311,0,0,0,0
HCC112,0.219,0.237,0.161,0.275,0.2,0.229,0.11,0,0,0,0
HCC114,0.517,0.236,0.641,0.375,0.514,0.198,0.156,0,0,0,0
HCC115,0.13,0,0.258,0,0.093,0.082,0.156,0,0,0,0
HCC122,0.222,0.231,0.271,0.269,0.182,0.201,0.394,0,0,0,0
HCC124,0.521,0.314,0.298,0.145,0.393,0.158,0.217,0,0,0,0
HCC134,0.435,0.406,0.683,0.594,0.446,0.48,0.468,0,0,0,0
HCC135,0.435,0.406,0.683,0.594,0.446,0.48,0.468,0,0,0,0
HCC136,0.289,0.231,0.26,0.323,0.28,0.261,0.245,0,0,0,0
HCC137,0.289,0.105,0.26,0.138,0.28,0.039,0.201,0,0,0,0
HCC138,0.069,0.021,0.017,0,0.043,0,0.092,0,0,0,0
HCC157,2.028,2.097,2.463,2.582,2.028,2.512,0.854,0,0,0,0
HCC158,1.069,1.212,1.471,1.38,1.162,0.925,0.322,0,0,0,0
HCC159,0.656,0.628,0.863,0.467,0.649,0.824,0.322,0,0,0,0
HCC161,0.515,0.592,0.727,0.583,0.541,0.542,0.294,0,0,0,0
HCC162,0.224,0.506,0.162,0.308,0,0.324,0,0,0,0,0
HCC166,0.486,0.274,0.511,0.105,0.729,0.134,0,0,0,0,0
HCC167,0.077,0,0.144,0.025,0.034,0.019,0,0,0,0,0
HCC169,0.476,0.369,0.532,0.377,0.512,0.336,0.25,0,0,0,0
HCC170,0.35,0.394,0.409,0.469,0.354,0.333,0,0,0,0,0
HCC173,0.208,0.172,0.221,0.525,0.176,0.18,0.092,0,0,0,0
HCC176,0.582,0.911,0.68,0.982,0.52,0.832,0.469,0,0,0,0
HCC186,0.832,0.445,0.728,0.865,0.438,0.613,1.046,0,0,0,0
HCC188,0.534,0.755,0.742,0.77,0.52,0.732,0.514,0,0,0,0
HCC189,0.519,0.437,0.795,0.934,0.697,0.626,0.357,0,0,0,0
HCC47_gCancer,0.838,0.46,0.853,0.679,0.656,0.601,0,0,0,0,0
DIABETES_CHF,0.121,0.024,0.192,0.043,0.113,0,0.169,0,0,0,0
CHF_gCopdCF,0.155,0.121,0.23,0.154,0.158,0.141,0.191,0,0,0,0
HCC85_gRenal_V24,0.156,0.411,0.187,0.461,0.186,0.382,0,0,0,0,0
gCopdCF_CARD_RESP_FAIL,0.363,0.379,0.528,0.455,0.392,0.479,0.414,0,0,0,0
HCC85_HCC96,0.085,0.282,0.138,0.361,0.101,0.303,0,0,0,0,0
gSubstanceUseDisorder_gPsych,0,0.138,0,0.191,0,0.201,0,0,0,0,0
SEPSIS_PRESSURE_ULCER,0,0,0,0,0,0,0.155,0,0,0,0
SEPSIS_ARTIF_OPENINGS,0,0,0,0,0,0,0.474,0,0,0,0
ART_OPENINGS_PRESSURE_ULCER,0,0,0,0,0,0,0.359,0,0,0,0
gCopdCF_ASP_SPEC_BACT_PNEUM,0,0,0,0,0,0,0.216,0,0,0,0
ASP_SPEC_BACT_PNEUM_PRES_ULC,0,0,0,0,0,0,0.472,0,0,0,0
SEPSIS_ASP_SPEC_BACT_PNEUM,0,0,0,0,0,0,0.346,0,0,0,0
SCHIZOPHRENIA_gCopdCF,0,0,0,0,0,0,0.417,0,0,0,0
SCHIZOPHRENIA_CHF,0,0,0,0,0,0,0.127,0,0,0,0
SCHIZOPHRENIA_SEIZURES,0,0,0,0,0,0,0.573,0,0,0,0
DISABLED_HCC85,0,0,0,0,0,0,0.279,0,0,0,0
DISABLED_PRESSURE_ULCER,0,0,0,0,0,0,0.544,0,0,0,0
DISABLED_HCC161,0,0,0,0,0,0,0.473,0,0,0,0
DISABLED_HCC39,0,0,0,0,0,0,0.456,0,0,0,0
DISABLED_HCC77,0,0,0,0,0,0,0.496,0,0,0,0
DISABLED_HCC6,0,0,0,0,0,0,0.405,0,0,0,0
D1,0,0,0,0,0,0,0,0,0,0,0
D2,0,0,0,0,0,0,0,0,0,0,0
D3,0,0,0,0,0,0,0,0,0,0,0
D4,0.006,0,0,0,0,0,0,0,0,0,0
D5,0.042,0.043,0,0.055,0.037,0.083,0,0,0,0,0
D6,0.077,0.131,0.04,0.167,0.071,0.117,0,0,0,0,0
D7,0.126,0.201,0.057,0.269,0.08,0.291,0,0,0,0,0
D8,0.214,0.441,0.095,0.424,0.125,0.452,0,0,0,0,0
D9,0.258,0.441,0.156,0.549,0.402,0.499,0,0,0,0,0
D10P,0.505,0.897,0.373,1.056,0.548,0.893,0,0,0,0,0
NEF0_34,0,0,0,0,0,0,0,0.804,0.969,0,0
NEF35_44,0,0,0,0,0,0,0,0.947,1.202,0,0
NEF45_54,0,0,0,0,0,0,0,1.016,1.306,0,0
NEF55_59,0,0,0,0,0,0,0,1.017,1.307,0,0
NEF60_64,0,0,0,0,0,0,0,1.122,1.408,0,0
NEF65,0,0,0,0,0,0,0,0.52,0.993,1.122,1.462
NEF66,0,0,0,0,0,0,0,0.515,0.897,1.174,1.887
NEF67,0,0,0,0,0,0,0,0.544,0.92,1.174,1.887
NEF68,0,0,0,0,0,0,0,0.598,0.951,1.174,1.887
NEF69,0,0,0,0,0,0,0,0.6,0.951,1.174,1.887
NEF70_74,0,0,0,0,0,0,0,0.69,0.985,1.174,1.887
NEF75_79,0,0,0,0,0,0,0,0.86,1.134,1.174,1.887
NEF80_84,0,0,0,0,0,0,0,1.014,1.353,1.174,1.887
NEF85_89,0,0,0,0,0,0,0,1.293,1.536,1.293,1.887
NEF90_94,0,0,0,0,0,0,0,1.293,1.701,1.293,1.887
NEF95_GT,0,0,0,0,0,0,0,1.293,1.701,1.293,1.887
NEM0_34,0,0,0,0,0,0,0,0.442,0.734,0,0
NEM35_44,0,0,0,0,0,0,0,0.657,1.059,0,0
NEM45_54,0,0,0,0,0,0,0,0.864,1.353,0,0
NEM55_59,0,0,0,0,0,0,0,0.904,1.418,0,0
NEM60_64,0,0,0,0,0,0,0,0.921,1.551,0,0
NEM65,0,0,0,0,0,0,0,0.518,1.144,0.921,1.811
NEM66,0,0,0,0,0,0,0,0.533,1.094,1.071,2.199
NEM67,0,0,0,0,0,0,0,0.582,1.151,1.123,2.199
NEM68,0,0,0,0,0,0,0,0.626,1.202,1.123,2.199
NEM69,0,0,0,0,0,0,0,0.69,1.202,1.32,2.199
NEM70_74,0,0,0,0,0,0,0,0.786,1.298,1.408,2.199
NEM75_79,0,0,0,0,0,0,0,1.06,1.407,1.408,2.199
NEM80_84,0,0,0,0,0,0,0,1.247,1.555,1.408,2.199
NEM85_89,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
NEM90_94,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
NEM95_GT,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
